Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
9500	-363357.25108043384	-363195.4927633943	-161.75831703954543	5.260934091531359	1.4964086059680473	0.013027759944091461
10000	-363352.65965833026	-363190.64008483215	-162.01957349812648	5.608087824118279	1.4956407058437964	0.0125246904094046
10500	-363339.429993691	-363193.5024004398	-145.92759325116486	6.889075962884461	1.6014483676306575	0.01185862191496572
11000	-363331.80595008354	-363193.0656928692	-138.74025721432457	4.161668506609033	1.632504036187376	0.01167180408242569
11500	-363332.4750280061	-363194.3604305962	-138.1145974098803	5.225921346095297	1.637128494207093	0.011523631101691786
12000	-363309.7190766331	-363184.4243076061	-125.29476902699612	6.298727204812945	1.728911438213733	0.011215376350562332
12500	-363289.8872987733	-363176.0570242033	-113.83027456999734	4.744658299511158	1.7934582354774327	0.01068197456291731
13000	-363272.58382312395	-363181.1716686725	-91.41215445140644	3.330650991633662	1.9521393082927898	0.010087447220052257
13500	-363258.4848310358	-363178.32320951094	-80.16162152484031	3.699140661843657	2.0379225552911944	0.00962837329941867
14000	-363244.5569354636	-363177.34834456036	-67.20859090324831	4.548342849866499	2.1534854765530276	0.008783285894276108
14500	-363237.36492792383	-363178.39675772935	-58.968170194476414	4.083513903245467	2.2233379682515872	0.008685987670140886
15000	-363223.9227330303	-363179.295291795	-44.62744123529023	4.905496917038585	2.3922177740159496	0.00824269751802039
15500	-363211.67175423773	-363178.88573861175	-32.786015625976674	3.6484465289852768	2.5012839047915474	0.007762727781466074
16000	-363193.61427231965	-363170.1548280986	-23.459444221079586	3.0892626140364188	2.618322243951806	0.007090006268246338
16500	-363186.4754318854	-363172.44872342335	-14.026708462052522	3.2136233574205004	2.7763960447833473	0.006930344615673866
17000	-363178.0862084074	-363173.7304553904	-4.355753017025572	2.246444083264239	2.988519814024447	0.006339734022560269
17500	-363176.06477173505	-363169.14602370904	-6.918748026017774	2.986187050338402	2.9256466097563125	0.00617552382472611
18000	-363166.4186399613	-363167.67276255396	1.2541225926719948	2.1256093163724517	3.2567216104453025	0.005427916817539575
18500	-363167.5372471289	-363168.425441783	0.8881946540781946	1.8754328774452294	3.251244895927791	0.005387407498460499
19000	-363164.89053658553	-363165.57636362704	0.6858270415346661	2.699809769665983	3.224120805278695	0.005380510165400778
19500	-363169.4535384887	-363169.5661980518	0.11265956307352365	1.8075918646783047	3.1994939175092374	0.005436042696160173
20000	-363169.58036612795	-363170.96650865895	1.38614253099513	2.441205648646352	3.298569005587455	0.005370888911901635
20500	-363173.79521470994	-363174.73405479145	0.9388400814961368	2.7600858617674806	3.3187925952421753	0.005263011543832979
21000	-363169.8733454457	-363171.47107849154	1.5977330458253167	2.2122608760188927	3.3518057653499085	0.005265092086954731
21500	-363167.31956606096	-363168.36908635305	1.0495202921117732	2.770542612180299	3.3026015651829903	0.005219434557119889
22000	-363169.7787954075	-363171.3564212949	1.5776258874116333	2.040717342979916	3.3206611879508556	0.005220825882351322
22500	-363170.36349007336	-363171.5436113488	1.1801212754050345	1.913972980839106	3.2663016895348185	0.00521256696759923
23000	-363172.08428660023	-363173.13827690255	1.0539903022895096	2.0540067104409903	3.4468598078735546	0.004982566497647214
23500	-363167.7446457389	-363168.38159317855	0.6369474396178383	2.0940077947980194	3.482035518516015	0.004965675091444106
24000	-363168.57224149833	-363167.2494786917	-1.3227628066187824	1.5237385759720041	3.53684860568481	0.004733465321415299
24500	-363166.4547792698	-363165.4051579526	-1.0496213171837256	2.030399339024136	3.5722596192280243	0.004737758232904773
25000	-363167.521845202	-363167.1124970045	-0.40934819752815255	1.4325905995752581	3.4310943416102084	0.004991833974612332
25500	-363165.14366534376	-363164.7217268306	-0.4219385131929263	1.4392499076664698	3.435706832252119	0.004972964744060351
26000	-363168.12957206485	-363167.154666448	-0.9749056168439871	3.3410102216486766	3.3982402512376946	0.0048649480338405085
26500	-363165.54393609415	-363166.5380989513	0.9941628571317818	1.8229640786558163	3.423347803991255	0.00498297874535883
27000	-363169.4509584098	-363170.02594602277	0.5749876129732039	2.613726856287464	3.4420382489262935	0.005032278252757624
27500	-363166.18454209063	-363166.1318227993	-0.05271929133348063	2.2134549242351382	3.5186786542029393	0.004883580832861399
28000	-363165.0041456014	-363165.96668277244	0.9625371710546125	1.829714572878518	3.427634525447285	0.004903928623058442
28500	-363163.47514810297	-363164.2130461247	0.7378980217591096	1.651034653013817	3.4006422871452577	0.004830833892455925
29000	-363165.7122303741	-363167.0307305696	1.3185001955127325	2.415672367921078	3.4076086217133463	0.004837940548826923
29500	-363162.17230617924	-363163.35693659965	1.1846304204242273	2.6369814435449745	3.380335248029507	0.004837873723728132
30000	-363163.90011555736	-363164.8555248235	0.9554092661218911	1.700387291186613	3.3793156959914756	0.0047861041785639555
30500	-363162.78981797554	-363163.6366190969	0.846801121359964	1.8467411999489927	3.4432871632376707	0.004936530754091138
31000	-363169.28345477104	-363167.1696166647	-2.113838106344032	3.5937993238022914	3.1785262118361524	0.005133841217497917
31500	-363173.3948797968	-363173.35971551976	-0.03516427701331626	3.1432713171840003	3.3237607090632233	0.00520097787788489
32000	-363166.2232013901	-363167.8146510908	1.5914497006902097	2.0379733521238417	3.3376607255461916	0.005141804382858798
32500	-363167.04999162146	-363168.2895837848	1.239592163361202	2.269966986289186	3.2423955460679914	0.005189692502953874
33000	-363168.2231440442	-363169.5252367539	1.3020927096853283	1.873836043930327	3.3082233165727066	0.0051634608900286965
33500	-363167.27610078495	-363168.7892490839	1.5131482989322418	2.1711723710041673	3.3880693605495265	0.005012273953153668
34000	-363162.712750018	-363164.24227479735	1.5295247793687414	2.042027284908804	3.3204413427578876	0.0050286074136027354
34500	-363168.6793616102	-363170.10248190357	1.4231202933462397	2.473056041836517	3.2899581394349093	0.004934082875290111
35000	-363167.8337360879	-363169.43738461076	1.6036485228442734	2.3181754693916705	3.3150368631292215	0.005032162126075213
35500	-363171.77125236724	-363170.4990115756	-1.2722407916385565	3.528230471680299	3.2854949047260047	0.004997237235851923
36000	-363164.91624244256	-363166.15142539947	1.2351829569199815	2.249831055316619	3.4215625665485856	0.00500539605978821
36500	-363166.20287258603	-363167.7709248888	1.5680523027453255	2.1553294642200593	3.286405205952411	0.005019123531594698
37000	-363163.8710953692	-363164.7912277792	0.9201324099717088	2.2558966875103246	3.446822398250926	0.005005690852053344
37500	-363169.20532098	-363170.4985613519	1.2932403719039147	2.0582614244563575	3.406818499101331	0.00499859874944029
38000	-363163.8201004987	-363164.31078347395	0.49068297529974814	2.9418150009764577	3.3411857437584245	0.005097003613149159
38500	-363161.8429841031	-363163.2128492117	1.3698651086188942	1.981058492389923	3.3863460598776762	0.005009432691534407
39000	-363163.388875187	-363163.2595359275	-0.1293392595163887	1.5991825305734693	3.4704554559341427	0.004781622251689668
39500	-363171.7394007637	-363170.8015610531	-0.9378397105950835	1.3976494936564798	3.467743626746848	0.004827849683231836
