"","species","hw.raw","hw.logit","time"
"465","D","1","4.59511985013459","peak"
"466","D","0.825","1.48283228816254","peak"
"467","D","1","4.59511985013459","peak"
"468","D","1","4.59511985013459","peak"
"469","D","1","4.59511985013459","peak"
"470","D","1","4.59511985013459","peak"
"471","D","1","4.59511985013459","peak"
"472","D","1","4.59511985013459","peak"
"473","D","1","4.59511985013459","peak"
"474","D","1","4.59511985013459","peak"
"475","D","0.953","2.80601501479891","peak"
"476","D","1","4.59511985013459","peak"
"477","D","0.869","1.80700903160609","peak"
"478","D","1","4.59511985013459","peak"
"479","D","1","4.59511985013459","peak"
"480","D","1","4.59511985013459","peak"
"481","D","1","4.59511985013459","peak"
"482","D","1","4.59511985013459","peak"
"483","D","1","4.59511985013459","peak"
"484","D","1","4.59511985013459","peak"
"485","D","1","4.59511985013459","peak"
"486","D","1","4.59511985013459","peak"
"487","D","1","4.59511985013459","peak"
"488","D","1","4.59511985013459","peak"
"489","D","1","4.59511985013459","peak"
"490","D","1","4.59511985013459","peak"
"491","D","1","4.59511985013459","peak"
"492","D","0.879","1.89214580206424","peak"
"493","D","1","4.59511985013459","peak"
"494","D","1","4.59511985013459","peak"
"495","D","1","4.59511985013459","peak"
"496","D","1","4.59511985013459","peak"
"497","D","1","4.59511985013459","peak"
"498","D","1","4.59511985013459","peak"
"499","D","1","4.59511985013459","peak"
"500","D","1","4.59511985013459","peak"
"501","D","0.799","1.31890818736981","peak"
"502","D","1","4.59511985013459","peak"
"503","D","1","4.59511985013459","peak"
"504","D","0.964","3.03202227495919","peak"
"505","D","1","4.59511985013459","peak"
"506","D","0.898","2.07047287169708","peak"
"507","D","1","4.59511985013459","peak"
"508","D","0.82","1.450010175506","peak"
"509","D","0.846","1.6287621852605","peak"
"510","D","0.92","2.31363492918063","peak"
"511","D","1","4.59511985013459","peak"
"512","D","1","4.59511985013459","peak"
"513","D","1","4.59511985013459","peak"
"514","D","1","4.59511985013459","peak"
"515","D","1","4.59511985013459","peak"
"516","D","1","4.59511985013459","peak"
"517","D","0.852","1.67318498121536","peak"
"518","D","0.824","1.47621369228934","peak"
"519","D","0.8","1.3249254147436","peak"
"520","D","1","4.59511985013459","peak"
"521","D","1","4.59511985013459","peak"
