species,hw.raw,hw.logit,time
C,0.843752853,1.612461499,peak
C,0.230782656,-1.261111249,peak
C,0.724431577,0.917005567,peak
C,0.765154504,1.126294989,peak
C,0.306,-0.866418902,trough
C,0.172,-1.643421765,trough
C,0.225,-1.29504569,trough
C,0.26,-1.098612289,trough
C,0.341,-0.703665685,trough
C,0.309,-0.852064314,trough
C,0.403,-0.434719179,trough
C,0.279,-0.99970208,trough
C,0.262,-1.08797389,trough
C,0.513,0.012000144,trough
C,0.338,-0.717244732,trough
C,0.572,0.24928294,trough
C,0.417,-0.376381214,trough
C,0.209,-1.392556122,trough
C,0.251,-1.147204844,trough
C,0.401,-0.443110708,trough
C,0.494,-0.064021859,trough
C,0.302,-0.885690291,trough
C,0.236,-1.231036874,trough
C,0.554,0.176456437,trough
C,0.223,-1.306936083,trough
C,0.515,0.020000667,trough
C,0.286,-0.964390527,trough
C,0.218,-1.337023312,trough
C,0.255,-1.125459539,trough
C,0.281,-0.989554911,trough
C,0.326764964,-0.768678864,trough
C,0.253453425,-1.133838445,trough
C,0.174192768,-1.627356852,trough
C,0.553554031,0.17465878,trough
C,0.183365883,-1.561957883,trough
C,0.554665791,0.179140706,trough
C,0.219318761,-1.329036638,trough
C,0.184275641,-1.555622823,trough
C,0.203008551,-1.430578576,trough
C,0.204009641,-1.424163929,trough
C,0.274128483,-1.024619874,trough
C,0.166239465,-1.686478865,trough
C,0.195911731,-1.4767968,trough
C,0.22550668,-1.292046152,trough
C,0.23305983,-1.247923316,trough
C,0.634577186,0.509022025,trough
C,0.172535041,-1.639485804,trough
C,0.356069032,-0.636363524,trough
C,0.280327942,-0.992959377,trough
C,0.456389038,-0.21527135,trough
C,0.233518403,-1.245279192,trough
C,0.23994308,-1.208632634,trough
C,0.348171766,-0.671452107,trough
C,0.232861866,-1.249065966,trough
C,0.30780819,-0.857756979,trough
C,0.26364482,-1.079266658,trough
C,0.367572218,-0.585917057,trough
C,0.508005303,-0.007978829,trough
C,0.298445065,-0.902947972,trough
C,0.745391471,1.022151486,trough
C,0.247599176,-1.165887312,trough
C,0.778542524,1.200099726,trough
C,0.421843781,-0.356348486,trough
C,0.193690582,-1.491540749,trough
C,0.170231026,-1.656510139,trough
C,0.224354789,-1.29887277,trough
C,0.272328793,-1.033899553,trough
C,0.227700422,-1.27911785,trough
C,0.230782656,-1.261111249,trough
C,0.214404013,-1.358993012,trough
C,0.765154504,1.126294989,trough
D,1,4.59511985,peak
D,0.984,3.623314766,peak
D,1,4.59511985,peak
D,0.26,-1.098612289,peak
D,1,4.59511985,peak
D,0.992,3.99921955,peak
D,0.731,0.949427355,peak
D,1,4.59511985,peak
D,0.981,3.511030638,peak
D,0.993,4.057395776,peak
D,0.994,4.119037175,peak
D,0.995,4.18459144,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.893,2.021151266,peak
D,0.987,3.748992436,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.993,4.057395776,peak
D,1,4.59511985,peak
D,0.996,4.254599025,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.991,3.94413348,peak
D,1,4.59511985,peak
D,0.989,3.842009205,peak
D,1,4.59511985,peak
D,0.987,3.748992436,peak
D,0.996,4.254599025,peak
D,0.921,2.325906528,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.804,1.349207292,peak
D,1,4.59511985,peak
D,0.994,4.119037175,peak
D,1,4.59511985,peak
D,0.995,4.18459144,peak
D,1,4.59511985,peak
D,0.995,4.18459144,peak
D,1,4.59511985,peak
D,0.938,2.556365614,peak
D,0.987,3.748992436,peak
D,0.989,3.842009205,peak
D,0.964,3.032022275,peak
D,0.935,2.512305624,peak
D,0.769,1.147204844,peak
D,0.758,1.08797389,peak
D,0.759,1.093286044,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.904,2.132266681,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.947,2.699548556,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.945,2.666159259,peak
D,0.9,2.090741097,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.799,1.318908187,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.934,2.497978731,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.912,2.219647041,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.96,2.944438979,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.761,1.103952755,peak
D,0.932,2.469836397,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.952,2.787562264,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.709,0.842540477,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.951,2.769405696,peak
D,1,4.59511985,peak
D,0.824,1.476213692,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.962,2.987364024,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.929,2.428836968,peak
D,0.915,2.254058052,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.787,1.248268579,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.804,1.349207292,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
D,0.907,2.164326874,peak
D,1,4.59511985,peak
D,1,4.59511985,peak
