species,hw.trans.peak,time
A,-1.160851801,trough
A,-1.153757795,trough
A,-1.1518227,trough
A,-1.143716389,trough
A,-1.13445338,trough
A,-1.132446856,trough
A,-1.12922384,trough
A,-1.11525211,trough
A,-1.099563117,trough
A,-1.093711219,trough
A,-1.09333187,trough
A,-1.091481797,trough
A,-1.085396697,trough
A,-1.080749605,trough
A,-1.079671338,trough
A,-1.073599709,trough
A,-1.070499604,trough
A,-1.067444764,trough
A,-1.063159114,trough
A,-1.055496618,trough
A,-1.048594972,trough
A,-1.04779923,trough
A,-1.023963136,trough
A,-1.018195553,trough
A,-1.015012776,trough
A,-1.004611684,trough
A,-1.004577519,trough
A,-0.986531811,trough
A,-0.9720531,trough
A,-0.967078916,trough
A,-0.949031325,trough
A,-0.933614122,trough
A,-0.921818899,trough
A,-0.856034684,trough
A,-0.8503609,trough
A,-0.83666418,trough
A,-0.817909854,trough
A,-0.800032256,trough
A,-0.790858889,trough
A,-0.777881703,trough
A,-0.734081939,trough
A,-0.713708413,trough
A,-0.685055199,trough
A,-0.63763425,trough
A,-0.51773452,trough
A,-0.46325133,trough
A,-0.427689389,trough
A,-0.397042325,trough
A,-0.394168538,trough
A,-0.356000239,trough
A,-0.200439264,trough
A,-0.178803555,trough
A,-0.14732895,trough
A,-0.110865733,trough
A,-0.07131523,trough
A,0.009567593,trough
A,0.053408908,trough
A,0.127069736,trough
A,0.438220479,trough
A,0.728688564,trough
B,-1.887778736,peak
B,-1.500105563,peak
B,-1.384993594,peak
B,-1.361819137,peak
B,-1.352587415,peak
B,-1.348695558,peak
B,-1.319950861,peak
B,-1.305218101,peak
B,-1.291242524,peak
B,-1.286550758,peak
B,-1.2661499,peak
B,-1.25379047,peak
B,-1.249098251,peak
B,-1.218088585,peak
B,-1.188947156,peak
B,-1.177908477,peak
B,-1.177236865,peak
B,-1.165507348,peak
B,-1.123283328,peak
B,-1.122524171,peak
B,-1.109479777,peak
B,-1.102375564,peak
B,-1.07949209,peak
B,-1.068548975,peak
B,-1.056319145,peak
B,-1.03708506,peak
B,-1.03708506,peak
B,-1.032860931,peak
B,-1.019286767,peak
B,-1.017733584,peak
B,-0.999211592,peak
B,-0.998222213,peak
B,-0.990697953,peak
B,-0.988889535,peak
B,-0.979372415,peak
B,-0.975833073,peak
B,-0.972472851,peak
B,-0.967729421,peak
B,-0.961028227,peak
B,-0.949259887,peak
B,-0.94181003,peak
B,-0.927493833,peak
B,-0.927043933,peak
B,-0.921592095,peak
B,-0.917691713,peak
B,-0.893366858,peak
B,-0.881980267,peak
B,-0.873945978,peak
B,-0.871240242,peak
B,-0.841592306,peak
B,-0.819421652,peak
B,-0.816969756,peak
B,-0.788759676,peak
B,-0.774521873,peak
B,-0.767336935,peak
B,-0.764786945,peak
B,-0.761228993,peak
B,-0.757562558,peak
B,-0.756461244,peak
B,-0.74684102,peak
B,-0.746624779,peak
B,-0.745517787,peak
B,-0.745006045,peak
B,-0.743141035,peak
B,-0.738049434,peak
B,-0.737401122,peak
B,-0.727823746,peak
B,-0.726519802,peak
B,-0.720225351,peak
B,-0.718200083,peak
B,-0.7119216,peak
B,-0.704354361,peak
B,-0.703226246,peak
B,-0.702689658,peak
B,-0.701082511,peak
B,-0.694477488,peak
B,-0.692746682,peak
B,-0.688320295,peak
B,-0.686749706,peak
B,-0.686277028,peak
B,-0.680897089,peak
B,-0.676950155,peak
B,-0.675738106,peak
B,-0.675083305,peak
B,-0.670622869,peak
B,-0.667239604,peak
B,-0.665751798,peak
B,-0.664952077,peak
B,-0.662142678,peak
B,-0.661809543,peak
B,-0.660949379,peak
B,-0.660453729,peak
B,-0.657523968,peak
B,-0.656998237,peak
B,-0.652248971,peak
B,-0.647969795,peak
B,-0.642800886,peak
B,-0.642604979,peak
B,-0.641545131,peak
B,-0.632736597,peak
B,-0.624119351,peak
B,-0.623662359,peak
B,-0.623522748,peak
B,-0.623491149,peak
B,-0.622841041,peak
B,-0.618381287,peak
B,-0.617274919,peak
B,-0.610294142,peak
B,-0.606584989,peak
B,-0.603666605,peak
B,-0.601644103,peak
B,-0.596576101,peak
B,-0.596498695,peak
B,-0.593631723,peak
B,-0.593189539,peak
B,-0.589367297,peak
B,-0.585275899,peak
B,-0.579723986,peak
B,-0.57756789,peak
B,-0.572453637,peak
B,-0.568056678,peak
B,-0.559118,peak
B,-0.55719024,peak
B,-0.557152595,peak
B,-0.556716509,peak
B,-0.555194276,peak
B,-0.554522255,peak
