species,hw.trans.peak,time
E,2.965693764,peak
E,3.300292855,peak
E,3.115385071,peak
E,4.59511985,peak
E,4.59511985,peak
E,1.678956907,peak
E,-0.295782641,peak
E,2.467595234,peak
E,4.59511985,peak
E,4.59511985,peak
E,3.584547216,peak
E,4.59511985,peak
E,4.59511985,peak
E,4.59511985,peak
E,0.786131102,peak
E,0.523646312,peak
E,-0.036003889,peak
E,4.59511985,peak
E,2.61782511,peak
E,1.437066686,peak
E,2.903110784,peak
E,-0.200670695,peak
E,1.578556599,peak
E,-0.184521778,peak
E,0.964390527,peak
E,2.923583166,peak
E,1.489478597,peak
E,1.259848344,peak
E,0.758371203,peak
E,-1.185861054,peak
E,-1.3738409,peak
E,2.666159259,peak
E,3.409496184,peak
E,1.874689849,peak
E,2.526809141,peak
E,-0.212799407,peak
E,3.17805383,peak
E,-0.036003889,peak
E,1.424225583,peak
E,-0.468378934,peak
E,1.004793533,peak
E,-0.140229341,peak
E,4.59511985,peak
E,-1.283235342,peak
E,2.060457164,peak
E,0.786131102,peak
E,1.628762185,peak
E,-0.963688571,peak
E,-0.46438406,peak
E,1.674956626,peak
E,2.503445682,peak
E,2.203223697,peak
E,2.413995618,peak
E,2.773329366,peak
E,2.002682931,peak
E,1.099657292,peak
E,1.893396585,peak
E,3.048993055,peak
E,3.029640371,peak
E,2.873079291,peak
E,2.818718542,peak
E,2.459361809,peak
E,-1.006860352,peak
E,2.590058052,peak
E,3.094200793,peak
E,2.564616892,peak
E,1.904428104,peak
E,1.983364201,peak
E,2.743142221,peak
E,3.413534846,peak
E,1.419460104,peak
E,2.679891417,peak
E,-1.670875305,peak
E,2.262800799,peak
E,2.46528735,peak
E,2.405752114,peak
E,-1.608896176,peak
E,-1.6857682,peak
E,-1.227775501,peak
E,-0.866835556,peak
E,1.313155191,peak
E,-1.370190028,peak
E,-1.685570812,peak
E,2.332276399,peak
E,1.47251576,peak
E,2.589776867,peak
E,-1.492005666,peak
E,1.840040902,peak
E,-1.166850205,peak
E,-1.568004719,peak
E,-1.243384834,peak
E,0.809437714,peak
E,-1.597450875,peak
E,-1.685616354,peak
E,-1.638519456,peak
E,-1.56659701,peak
E,-1.398819991,peak
E,-1.606933381,peak
E,-1.699147093,peak
E,-1.673997419,peak
E,-1.596328288,peak
E,-0.870959386,peak
E,-1.652106844,peak
E,-1.590744446,peak
E,2.362066434,peak
E,2.350030177,peak
E,2.102384913,peak
E,3.558820101,peak
E,1.789289274,peak
E,2.822881258,peak
E,2.157543972,peak
E,2.33872142,peak
E,2.477620719,peak
E,1.748725527,peak
E,-0.66565892,peak
E,1.083292858,peak
E,2.40483006,peak
E,-1.293120604,peak
E,-0.707376338,peak
E,-1.278180777,peak
E,3.283326772,peak
E,2.763352582,peak
E,1.963491252,peak
E,3.028999418,peak
E,2.665984342,peak
E,1.672728177,peak
E,1.32460219,peak
E,1.788313714,peak
E,2.712474711,peak
E,2.709542458,peak
E,2.183045679,peak
E,1.8718478,peak
E,0.432862334,peak
E,2.854756394,peak
E,-0.753246894,peak
E,0.120254988,peak
E,-1.371750147,peak
E,2.180741235,peak
E,-0.799255586,peak
E,-1.442293553,peak
E,0.627553061,peak
E,-1.619837101,peak
E,-1.66275572,peak
E,-1.480619829,peak
E,-1.386723801,peak
E,-1.646908119,peak
E,0.962729827,peak
E,-1.669236877,peak
E,-1.685545935,peak
E,-1.686566516,peak
E,-1.686832773,peak
E,-1.686867125,peak
E,-1.686184704,peak
E,-1.686122917,peak
E,-1.647023883,peak
E,-1.62509401,peak
E,-1.044134838,peak
E,-0.127276334,peak
E,-0.056784078,peak
E,0.005262745,peak
E,-1.450900305,peak
E,-1.608957712,peak
E,2.906245112,peak
E,-1.24150618,peak
E,2.618040357,peak
E,-1.124280966,peak
E,-1.872164498,peak
E,-1.636337865,peak
E,-1.708324223,peak
E,-1.469219951,peak
E,-1.509423817,trough
E,-1.686828106,trough
E,-1.684030588,trough
E,-1.657354501,trough
E,-1.667428632,trough
E,0.09424159,trough
E,-1.685117066,trough
E,-1.65920817,trough
E,-1.665029055,trough
E,-1.619662933,trough
E,-0.631929026,trough
E,-1.680712603,trough
E,2.332276399,trough
E,1.47251576,trough
E,2.589776867,trough
E,-1.492005666,trough
E,1.840040902,trough
E,-1.166850205,trough
E,-1.568004719,trough
E,-1.243384834,trough
E,0.809437714,trough
E,-1.597450875,trough
E,-1.685616354,trough
